Entry Number,Name,Year,Duration,Movie Rating,Movie Score,Total votes
102,North by Northwest,1959,2h 16m,Approved,8.3,341K
103,Vertigo,1958,2h 8m,PG,8.3,421K
104,Double Indemnity,1944,1h 47m,Passed,8.3,165K
105,Scarface,1983,2h 50m,18+,8.3,897K
106,Le fabuleux destin d'Amélie Poulain,2001,2h 2m,R,8.3,784K
107,Full Metal Jacket,1987,1h 56m,R,8.3,778K
108,Tsetskhlis Tsamkidebelni,2010,2h 11m,R,8.3,193K
109,A Clockwork Orange,1971,2h 16m,X,8.3,868K
110,Heat,1995,2h 50m,R,8.3,703K
111,Up,2009,1h 36m,PG,8.3,1.1M
112,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,329K
113,The Sting,1973,2h 9m,PG,8.3,275K
114,Jodaeiye Nader az Simin,2011,2h 3m,PG-13,8.3,255K
115,Hamilton,2020,2h 40m,PG-13,8.3,109K
116,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,799K
117,Die Hard,1988,2h 12m,R,8.2,924K
118,Metropolis,1927,2h 33m,Not Rated,8.3,183K
119,Taare Zameen Par,2007,2h 42m,PG,8.3,203K
120,Snatch,2000,1h 44m,R,8.2,895K
121,Velosipedebis Gamtatsebelni,1948,1h 29m,Not Rated,8.3,172K
122,L.A,1997,2h 18m,R,8.2,607K
123,1917,2019,1h 59m,R,8.2,655K
124,Taxi Driver,1976,1h 54m,R,8.2,899K
125,Der Untergang,2004,2h 36m,R,8.2,370K
126,Dangal,2016,2h 41m,Not Rated,8.3,205K
127,Per qualche dollaro in più,1965,2h 12m,R,8.2,270K
128,Batman Begins,2005,2h 20m,PG-13,8.2,1.6M
129,Top Gun: Maverick,2022,2h 10m,PG-13,8.3,648K
130,Some Like It Hot,1959,2h 1m,Passed,8.2,280K
131,The Kid,1921,1h 8m,Passed,8.2,133K
132,The Wolf of Wall Street,2013,3h,R,8.2,1.5M
133,The Father,2020,1h 37m,PG-13,8.2,183K
134,Mtsvane Tsigni,2018,2h 10m,PG-13,8.2,546K
